Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Blomsma F., Pieroni M., Kravchenko M., Pigosso D.C.A., Hildenbrand J., Kristinsdottir A.R., Kristoffersen E., Shabazi S., Nielsen K.D., Jönbrink A.-K., Li J., Wiik C., McAloone T.C.","57194186905;57190254889;57209285811;34979361600;56615719800;57201911641;57211002099;57211001044;57211004541;57207973453;8273831100;57211000296;6508239327;","Developing a circular strategies framework for manufacturing companies to support circular economy-oriented innovation",2019,"Journal of Cleaner Production","241",,"118271","","",,93,"10.1016/j.jclepro.2019.118271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072171339&doi=10.1016%2fj.jclepro.2019.118271&partnerID=40&md5=265c638c0472b831b6decc5377607b43","Technical University of Denmark (DTU), Department of Mechanical Engineering, Nils Koppels Alle 404, DK- 2800 Kgs, Lyngby, Denmark; RISE IVF, 43 122, Mölndal, Sweden; NTNU: Norwegian University of Science and Technology, Trondheim, 7491, Norway; Innovation Center Iceland, Árleynir 2-8, 112, Reykjavík, Iceland; Technology Industries of Finland, Eteläranta 10, Helsinki, 00131, Finland","Blomsma, F., Technical University of Denmark (DTU), Department of Mechanical Engineering, Nils Koppels Alle 404, DK- 2800 Kgs, Lyngby, Denmark; Pieroni, M., Technical University of Denmark (DTU), Department of Mechanical Engineering, Nils Koppels Alle 404, DK- 2800 Kgs, Lyngby, Denmark; Kravchenko, M., Technical University of Denmark (DTU), Department of Mechanical Engineering, Nils Koppels Alle 404, DK- 2800 Kgs, Lyngby, Denmark; Pigosso, D.C.A., Technical University of Denmark (DTU), Department of Mechanical Engineering, Nils Koppels Alle 404, DK- 2800 Kgs, Lyngby, Denmark; Hildenbrand, J., RISE IVF, 43 122, Mölndal, Sweden; Kristinsdottir, A.R., RISE IVF, 43 122, Mölndal, Sweden; Kristoffersen, E., NTNU: Norwegian University of Science and Technology, Trondheim, 7491, Norway; Shabazi, S., RISE IVF, 43 122, Mölndal, Sweden; Nielsen, K.D., Innovation Center Iceland, Árleynir 2-8, 112, Reykjavík, Iceland; Jönbrink, A.-K., RISE IVF, 43 122, Mölndal, Sweden; Li, J., NTNU: Norwegian University of Science and Technology, Trondheim, 7491, Norway; Wiik, C., Technology Industries of Finland, Eteläranta 10, Helsinki, 00131, Finland; McAloone, T.C., Technical University of Denmark (DTU), Department of Mechanical Engineering, Nils Koppels Alle 404, DK- 2800 Kgs, Lyngby, Denmark","This paper puts forward the Circular Strategies Scanner: a framework that introduces a taxonomy of circular strategies developed for use by manufacturing companies engaging in circular economy (CE) oriented innovation. Currently, a range of frameworks exists that propose a vision for how to operate in a CE, by identifying and organising relevant circular strategies. However, these frameworks have a limited applicability for specific business types, in particular manufacturing, and are unsuitable for use in CE oriented innovation, due to a lacking ability to support innovation processes through: 1) creating a comprehensive understanding of circular strategies, 2) mapping strategies currently applied and 3) finding opportunities for improved circularity across a range of business processes. This paper addresses these shortcomings by proposing a circular strategies framework for the manufacturing context, titled the Circular Strategies Scanner, which provides a comprehensive set of definitions of circular strategies and directly supports the early stages of CE oriented innovation. With this, the paper contributes to the body of work that develops CE transition methodology. © 2019 Elsevier Ltd","Circular strategies framework; Closed loop; Innovation; Manufacturing companies; Resource productivity","Scanning; Business Process; Circular economy; Circular strategies; Closed loops; Innovation process; Manufacturing companies; Mapping strategy; Resource productivity; Manufacture",Article,"Final","",Scopus,2-s2.0-85072171339
"Kravchenko M., Pigosso D.C., McAloone T.C.","57209285811;34979361600;6508239327;","Towards the ex-ante sustainability screening of circular economy initiatives in manufacturing companies: Consolidation of leading sustainability-related performance indicators",2019,"Journal of Cleaner Production","241",,"118318","","",,82,"10.1016/j.jclepro.2019.118318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072017996&doi=10.1016%2fj.jclepro.2019.118318&partnerID=40&md5=08284c0a4b93d2f0edbc4d74467a239a","Technical University of Denmark (DTU), Department of Mechanical Engineering, Nils Koppels Alle 404, Room 226, Kgs., Lyngby, DK- 2800, Denmark","Kravchenko, M., Technical University of Denmark (DTU), Department of Mechanical Engineering, Nils Koppels Alle 404, Room 226, Kgs., Lyngby, DK- 2800, Denmark; Pigosso, D.C., Technical University of Denmark (DTU), Department of Mechanical Engineering, Nils Koppels Alle 404, Room 226, Kgs., Lyngby, DK- 2800, Denmark; McAloone, T.C., Technical University of Denmark (DTU), Department of Mechanical Engineering, Nils Koppels Alle 404, Room 226, Kgs., Lyngby, DK- 2800, Denmark","The concept of Circular Economy proposes an innovative alternative model to counter the failed support of society's current ‘linear’ mode of operating, with the goal of achieving increased sustainability. A wide range of approaches have been proposed to help businesses plan for and implement circular strategies. Despite positive claims about the potential of circular economy implementation to simultaneously reduce environmental burden whilst enhancing business benefits, not all circular solutions (or circumstances) bring the desired positive effects, especially in the broader context of sustainability. For this reason, any decision to adopt a circular economy strategy ought to be carefully assessed with regards to its potential sustainability performance, prior to its implementation. While several attempts to measure or estimate the sustainability effects of circular economy strategies have been made, they often deploy methodologies that rely on multifaceted input information. Furthermore, such efforts provide results by means of employing lagging indicators, which are complex and may not be easily understood by decision-makers in a manufacturing company context. This paper provides a review of leading sustainability-related performance indicators, identified through a systematic literature review. As a result, more than 270 leading performance indicators have been retrieved and consolidated in a database. Subsequently, these indicators have been classified according to three categories: sustainability dimensions; business processes; and circular economy strategies. The key findings show that leading sustainability-related performance indicators are available for a wide range of Circular Economy strategies, thus making it possible to measure the potential sustainability performance of circular strategies prior their implementation. Furthermore, the specificities of leading indicators available for each classification category are presented, several gaps are identified and direction for future research is established. © 2019 Elsevier Ltd","Circular economy; Leading indicators; Manufacturing; Performance indicators; Sustainability screening","Benchmarking; Decision making; Manufacture; Circular economy; Environmental burdens; Leading indicators; Manufacturing companies; Performance indicators; Sustainability dimensions; Sustainability performance; Systematic literature review; Sustainable development",Review,"Final","",Scopus,2-s2.0-85072017996
"Linneberg M.S., Madsen M.T., Nielsen J.A.","26321747300;23968059500;34977318900;","Micro-level translation of corporate sustainability: When strategy meets practice in the Danish hospitality sector",2019,"Journal of Cleaner Production","240",,"118159","","",,13,"10.1016/j.jclepro.2019.118159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071890307&doi=10.1016%2fj.jclepro.2019.118159&partnerID=40&md5=12ecc0e171f2f5c2196a26b16b6a3aa1","Aarhus University, School of Business and Social Sciences, Department of Management, Fuglesangs Alle 4, Aarhus V, DK-8210, Denmark; Aalborg University, Department of Political Science Fibigerstraede 3, Aalborg Ø, DK-9220, Denmark","Linneberg, M.S., Aarhus University, School of Business and Social Sciences, Department of Management, Fuglesangs Alle 4, Aarhus V, DK-8210, Denmark; Madsen, M.T., Aarhus University, School of Business and Social Sciences, Department of Management, Fuglesangs Alle 4, Aarhus V, DK-8210, Denmark; Nielsen, J.A., Aalborg University, Department of Political Science Fibigerstraede 3, Aalborg Ø, DK-9220, Denmark","Corporate Sustainability provides a frame of reference for making business behaviour more ethical and environmentally sound. Despite good intentions, however, Corporate Sustainability strategies come with the risk of being decoupled from organizational practices. This article addresses this inconsistency by examining how Corporate Sustainability strategies are transformed into organizational work practices in the hospitality sector, where waste generation and the consumption of water and energy are major environmental liabilities. This paper is based on a micro-level inquiry into three Danish hotels in which the translation perspective in organizational research is adopted to analyze how both managers and front-line employees engage in translation work. Two modes of organizational translation are distinguished: first, high-mode translation, signifying upper management's transformation of ideas about sustainability into strategies, standards and new labels in order to signal uniqueness; and secondly, operational-mode translation, where lower-level managers and front-line employees (a) adapt and appropriate sustainability strategies designed by top management, and (b) themselves engage as employees in bottom up-driven sustainability translation. This study offers new insights into the micro-level translation of Corporate Sustainability, complementing the strategic perspective that has hitherto dominated research into Corporate Sustainability. © 2019 Elsevier Ltd","Corporate sustainability; Denmark; Environmental sustainability active translators; Hospitality; Sustainability practices; Translation","Human resource management; Managers; Translation (languages); Corporate-sustainability; Denmark; Environmental sustainability; Hospitality; Sustainability practices; Sustainable development",Article,"Final","",Scopus,2-s2.0-85071890307
"Fathollahi-Fard A.M., Govindan K., Hajiaghaei-Keshteli M., Ahmadi A.","57196414092;54986334000;36008663700;57192408758;","A green home health care supply chain: New modified simulated annealing algorithms",2019,"Journal of Cleaner Production","240",,"118200","","",,109,"10.1016/j.jclepro.2019.118200","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071639294&doi=10.1016%2fj.jclepro.2019.118200&partnerID=40&md5=81f0962c855b957a8bc15779cc3a40ea","Department of Industrial Engineering and Management Systems, Amirkabir University of Technology, Tehran, Iran; Centre for Sustainable Engineering Operations Management, Department of Technology and Innovation, University of Southern Denmark, Odense, Denmark; Department of Industrial Engineering, University of Science and Technology of Mazandaran, Behshahr, Iran","Fathollahi-Fard, A.M., Department of Industrial Engineering and Management Systems, Amirkabir University of Technology, Tehran, Iran; Govindan, K., Centre for Sustainable Engineering Operations Management, Department of Technology and Innovation, University of Southern Denmark, Odense, Denmark; Hajiaghaei-Keshteli, M., Department of Industrial Engineering, University of Science and Technology of Mazandaran, Behshahr, Iran; Ahmadi, A., Department of Industrial Engineering and Management Systems, Amirkabir University of Technology, Tehran, Iran","Generally, in Home Health Care (HHC) logistics, caregivers which are started from a pharmacy are scheduled and routed to do different care services at patients' home. At the end, they go to their laboratory to update the patients' health records. In addition to scheduling and routing of the caregivers, there are some other optimization decisions which can increase the competitive advantages of HHC organizations as a supply chain network. The location decisions of the pharmacies and laboratories and the assignment of patients to the nearest pharmacies are two of the several important logistics factors for an HHC organization. The literature shows that the green emissions and sustainability achievements for HHC logistics are still scarce. To cover more logistics and sustainability factors and make the HHC more practical, this study contributes a Green Home Health Care Supply Chain (GHHCSC) for the first time by a bi-objective location-allocation-routing model. Already applied successfully to this research area, the Simulated Annealing (SA) is also employed in this study. Another main innovation of this paper is to propose a set of new modified SA algorithms to better solve the proposed NP-hard problem. As a bi-objective optimization model, the epsilon constraint method is also utilized to check the algorithms’ results in small sizes. By using some multi-objective assessment metrics, the algorithms are compared with each other and their performance is evaluated. As such, some sensitivity analyses are performed to reveal the efficiency of the developed model. Finally, some managerial insights are deployed to achieve the sustainability for the HHC organizations. © 2019 Elsevier Ltd","Green emissions; Home health care supply chain; Location-allocation-routing model; Modified simulated annealing algorithms; Sustainability","Competition; Computational complexity; Location; Sensitivity analysis; Simulated annealing; Supply chains; Sustainable development; Bi-objective optimization; Competitive advantage; Epsilon-constraint method; Green emissions; Routing model; Scheduling and routing; Simulated annealing algorithms; Supply chain network; Home health care",Article,"Final","",Scopus,2-s2.0-85071639294
"De La Varga D., Soto M., Arias C.A., Oirschot D.V., Kilian R., Pascual A., Álvarez J.A.","38561167100;7101796088;7103371639;57096054900;54781326200;57214299768;25631637800;","Constructed wetlands for industrial wastewater treatment and removal of nutrients",2019,"Waste Management: Concepts, Methodologies, Tools, and Applications",,,,"559","587",,1,"10.4018/978-1-7998-1210-4.ch027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137707941&doi=10.4018%2f978-1-7998-1210-4.ch027&partnerID=40&md5=c07808f4789f9c999ed565a860ce8825","Sedaqua, Spain; University of A Coruña, Spain; Aarhus University, Denmark; Rietland bvba, Belgium; Kilian Water, Denmark; AIMEN, Spain","De La Varga, D., Sedaqua, Spain; Soto, M., University of A Coruña, Spain; Arias, C.A., Aarhus University, Denmark; Oirschot, D.V., Rietland bvba, Belgium; Kilian, R., Kilian Water, Denmark; Pascual, A., AIMEN, Spain; Álvarez, J.A., AIMEN, Spain","Constructed Wetlands (CWs) are low-cost and sustainable systems for wastewater treatment. Traditionally they have been used for urban and domestic wastewater treatment, but in the last two decades, the applications for industrial wastewater treatment increased due to the evolution of the technology and the extended research on the field. Nowadays, CWs have been applied to the treatment of different kind of wastewaters as such as refinery and petrochemical industry effluents, food industry effluents including abattoir, dairy, meat, fruit and vegetables processing industries, distillery and winery effluents, pulp and paper, textile, tannery, aquaculture, steel and mixed industrial effluents. In this chapter, the authors present the main types of CWs, explain how they work and the expected performances, and describe the principal applications of CWs for industrial wastewater treatment with particular attention to suspended solids, organic matter and nutrient removal. A review of these applications as well as some case studies will be discussed. © 2020 by IGI Global. All rights reserved.",,,Book Chapter,"Final","",Scopus,2-s2.0-85137707941
"Obeng P.A., Oduro-Kwarteng S., Keraita B., Bregnhøj H., Abaidoo R.C., Awuah E., Konradsen F.","34979892100;16402424300;23004682400;8540288400;9276214300;6505957523;7003563579;","On-site sanitation systems for low-income countries: Technical guidelines for groundwater pollution and nuisance control",2019,"Waste Management: Concepts, Methodologies, Tools, and Applications",,,,"1055","1077",,,"10.4018/978-1-7998-1210-4.ch048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137673199&doi=10.4018%2f978-1-7998-1210-4.ch048&partnerID=40&md5=e86fabd1b04118c76b825ede0830fa94","University of Cape Coast, Ghana; Kwame Nkrumah University of Science and Technology, Ghana; University of Copenhagen, Denmark","Obeng, P.A., University of Cape Coast, Ghana; Oduro-Kwarteng, S., Kwame Nkrumah University of Science and Technology, Ghana; Keraita, B., University of Copenhagen, Denmark; Bregnhøj, H., University of Copenhagen, Denmark; Abaidoo, R.C., Kwame Nkrumah University of Science and Technology, Ghana; Awuah, E., Kwame Nkrumah University of Science and Technology, Ghana; Konradsen, F., University of Copenhagen, Denmark","On-site sanitation systems, the commonest sanitation technologies in low-income countries, are central to the elimination of open defecation in such countries. Nevertheless, their selection and application in the physical and socio-economic environment of low-income settings could be a complex and challenging task. Poorly designed and constructed facilities could pollute groundwater resources and create nuisances to the user and the general public. Meanwhile, local authorities in these countries often lack the human resource with the requisite technical capacity to analyse situations and recommend appropriate solutions. This calls for guidance in the most crucial technical decisions that affect the safe usage and environmental sustainability of on-site sanitation technologies. This Chapter reviews salient standards and guidelines for the selection of appropriate technologies, prevention of groundwater pollution, control of odor and fly nuisance, structural stability and safety of the latrine user. © 2020 by IGI Global. All rights reserved.",,,Book Chapter,"Final","",Scopus,2-s2.0-85137673199
"Prætorius T., Hasle P.","57163703500;6602384385;","Frontline meetings as support for cross-boundary coordination in hospitals",2019,"Journal of Health Organization and Management","33","7-8",,"884","901",,2,"10.1108/JHOM-10-2018-0312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075622650&doi=10.1108%2fJHOM-10-2018-0312&partnerID=40&md5=78eaa94f8e8a57c1ae6a02097e459ba7","Steno Diabetes Center Aarhus, Aarhus University Hospital, Aarhus N, Denmark; Department of Technology and Innovation, University of Southern Denmark, Odense, Denmark","Prætorius, T., Steno Diabetes Center Aarhus, Aarhus University Hospital, Aarhus N, Denmark; Hasle, P., Department of Technology and Innovation, University of Southern Denmark, Odense, Denmark","Purpose: The purpose of this paper is to investigate frontline meetings in hospitals and how they are used for coordination of daily operations across organizational and occupational boundaries. Design/methodology/approach: An in-depth multiple-case study of four purposefully selected departments from four different hospitals is conducted. The selected cases had actively developed and embedded scheduled meetings as structural means to achieve coordination of daily operations. Findings: Health care professionals and managers, next to their traditional mono-professional meetings (e.g. doctors or nurses), develop additional operational, daily meetings such as work-shift meetings, huddles and hand-off meetings to solve concrete care tasks. These new types of meetings are typically short, task focussed, led by a chair and often inter-disciplinary. The meetings secure a personal proximity which the increased dependency on hospital-wide IT solutions cannot. During meetings, objects and representations (e.g. monitors, whiteboards or paper cards) create a needed gathering point to span across boundaries. As regards embedding meetings, local engagement helps contextualizing meetings and solving concrete care tasks, thereby making health care professionals more likely to value these daily meeting spaces. Practical implications: Health care professionals and managers can use formal meeting spaces aided by objects and representations to support solving daily and interdependent health care tasks in ways that IT solutions in hospitals do not offer today. Implementation requires local engagement and contextualization. Originality/value: This research paper shows the importance of daily, operational hospital meetings for frontline coordination. Organizational meetings are a prevalent collaborative activity, yet scarcely researched organizational phenomenon. © 2019, Emerald Publishing Limited.","Collaboration; Coordination; Hospitals; Implementation; Meetings","article; doctor nurse relation; embedding; human; manager",Article,"Final","",Scopus,2-s2.0-85075622650
"Bévort F., Stjerne I.S.","56901326900;57074825700;","Multilevel career analysis in the film industry and professional service firms: Exploring the roles of relations and institutions in bounding careers",2019,"The Routledge Companion to Career Studies",,,,"275","292",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121187925&partnerID=40&md5=38a3476c23a7e1bc9617239ad5766281","Department of Organization, Copenhagen Business School, Denmark; Copenhagen Business School, Department of Organization, Denmark","Bévort, F., Department of Organization, Copenhagen Business School, Denmark; Stjerne, I.S., Copenhagen Business School, Department of Organization, Denmark",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85121187925
"Hansen A.V.","57192903797;","Value co-creation in service marketing: A critical (re)view",2019,"International Journal of Innovation Studies","3","4",,"73","83",,8,"10.1016/j.ijis.2019.12.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100809823&doi=10.1016%2fj.ijis.2019.12.001&partnerID=40&md5=fb956ff846d78064b2f053d5fb4114a7","Department of Social Sciences and Business, Roskilde University, Roskilde, 4000, Denmark","Hansen, A.V., Department of Social Sciences and Business, Roskilde University, Roskilde, 4000, Denmark","The present study critically explores and discusses the concept of value co-creation as revealed and recognized in the research streams that have formed the conceptual basis for the construct: service-dominant logic, service logic, and customer-dominant logic. The study is positioned within critical hermeneutics; thus, a hermeneutic review strategy is applied and the subsequent critical discussion is inspired by a Habermasian understanding of society as composed of a system and lifeworld. The findings of the study are twofold; they reveal how different underlying assumptions frame the perception of the unit of analysis when focusing on value co-creation and how that the relocation of the locus of value creation from the company to the customer sphere hides that value is an economic concept in service marketing research. Moreover, the analysis reveals that in services market research, the concept of value co-creation in a company is applied to analyze the customer domain. This dimension has not received much academic attention despite that the existing concept might be applicable neither analytically nor empirically. Extant literature on value co-creation acknowledges that the meaning of the concept is still obscure. The present study therefore contributes to literature with a refined conceptual understanding of how the underlying perceptions of the concept lead to different analytical foci in existing research and by identifying questions for further research. Moreover, the review and the discussion are based within a hermeneutic paradigm and contribute as such with a rarely applied review methodology within the field of service marketing. © 2019 KeAi Communications Co., Ltd","Critical hermeneutics; Customer dominant logic; Service dominant logic; Service logic; Value co-creation",,Article,"Final","",Scopus,2-s2.0-85100809823
"Emmanuel N.D., Elo M., Piekkari R.","57336362500;55760784700;8334221300;","Human stickiness as a counterforce to brain drain: Purpose-driven behaviour among Tanzanian medical doctors and implications for policy",2019,"Journal of International Business Policy","2","4",,"314","332",,9,"10.1057/s42214-019-00036-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093091006&doi=10.1057%2fs42214-019-00036-7&partnerID=40&md5=c7872f3fcc19480d409b8e918901e345","School of Public Administration and Management, Mzumbe University, Mzumbe, Tanzania; Adger University, Kristiansand, Norway; Department of Marketing and Management, University of Southern Denmark, Odense, Denmark; Belt and Road Institute of International Business, School of Economics, Shanghai University, Shanghai, China; Turku School of Economics, University of Turku, Turku, Finland; Department of Management Studies, School of Business, Aalto University, Espoo, Finland","Emmanuel, N.D., School of Public Administration and Management, Mzumbe University, Mzumbe, Tanzania, Adger University, Kristiansand, Norway; Elo, M., Department of Marketing and Management, University of Southern Denmark, Odense, Denmark, Belt and Road Institute of International Business, School of Economics, Shanghai University, Shanghai, China, Turku School of Economics, University of Turku, Turku, Finland; Piekkari, R., Department of Management Studies, School of Business, Aalto University, Espoo, Finland","We explain why a group of Tanzanian medical doctors decided to stay in their home country despite a massive brain drain and pressure to migrate. We argue that purpose-driven behaviour among medical doctors serves as a counterforce to brain drain, fostering human stickiness in a developing country context. A sense of purpose provides a novel lens to understand voluntary non-migration of highly-skilled professionals under extreme conditions. Furthermore, incoming expatriate doctors build local capacity by sharing skills and expertise with Tanzanian doctors. This affects the medical doctors’ motives to migrate, further reducing brain drain. These individual-level decisions not to migrate find their application in policy. We advocate policies that support purpose-driven behaviour and generate long-term commitment to a location, while advancing short-term mobility for knowledge sharing. The policy initiatives are targeted at actors in the sending and receiving countries as well as in international organisations, covering concerted multi-layered policies to support family and community embeddedness, to facilitate the incoming of expatriate doctors and foreign exchange, and to cultivate benefits of circular migration. We argue that migration behaviour is more individually grounded and socio-emotionally constructed than what dominant economic-based explanations suggest. © 2019, The Author(s).","brain drain; faith; medical doctors; migration policy; purpose; stickiness; Tanzania",,Article,"Final","",Scopus,2-s2.0-85093091006
