Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Hatani F.","24467972100;","Renewable energy for a sustainable future: Can Japan catch up?",2021,"Japanese Business Operations in an Uncertain World",,,,"62","75",,,"10.4324/9781003216049-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127944892&doi=10.4324%2f9781003216049-6&partnerID=40&md5=9c385f045a62be3ad1c8b7aeb507accb","Copenhagen School of Business, Denmark","Hatani, F., Copenhagen School of Business, Denmark",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85127944892
"Nidhi, Khan B., Mihovska A., Prasad R., Velez F.J.","57220805413;57208424797;16646542900;57214827415;7004153551;","Trends in Standardization Towards 6G",2021,"Journal of ICT Standardization","9","3",,"327","348",,1,"10.13052/jicts2245-800X.932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126145677&doi=10.13052%2fjicts2245-800X.932&partnerID=40&md5=8cbe8c04db0f3a66024f242096498fec","CGC Research Lab, Department of Business Development and Technology, Aarhus University, Denmark; Instituto de Telecomunicações and Universidade da Beira Interior, Covilha, Portugal","Nidhi, CGC Research Lab, Department of Business Development and Technology, Aarhus University, Denmark; Khan, B., Instituto de Telecomunicações and Universidade da Beira Interior, Covilha, Portugal; Mihovska, A., CGC Research Lab, Department of Business Development and Technology, Aarhus University, Denmark; Prasad, R., CGC Research Lab, Department of Business Development and Technology, Aarhus University, Denmark; Velez, F.J., Instituto de Telecomunicações and Universidade da Beira Interior, Covilha, Portugal","Mobile networks have always been an indispensable part of a fully connected digital society. The industry and academia have joined hands to develop technologies for the anticipated future wireless communication. The predicted Key Performance Indicators (KPIs) and use cases for the 6G networks have raised the bar high. 6G networks are developing to provide the required infrastructure for many new devices and services. The 6G networks are conceptualized to partially inherit 5G technologies and standards but they will open the ground for innovations. This study provides the vision and requirements for beyond 5G (B5G) networks and emphasizes our vision on the required standards to reach a fully functional and interoperable 6G era in general. We highlight various KPIs and enabling technologies for the B5G networks. In addition, standardization activities and initiatives concerning challenges in the use of spectrum are discussed in detail. © 2021 River Publishers.","6G networks; spectrum management; spectrum sharing; standardization development organization; terahertz","4G mobile communication systems; Benchmarking; Queueing networks; Standardization; 6g network; Digital society; Key performance indicators; New devices; New services; Spectrum management; Spectrum sharing; Standardization development organization; Tera Hertz; Wireless communications; 5G mobile communication systems",Article,"Final","",Scopus,2-s2.0-85126145677
"Jørgensen S.L., Mechlenburg I.","57219378295;8201912700;","Effects of Low-Load Blood-Flow Restricted Resistance Training on Functional Capacity and Patient-Reported Outcome in a Young Male Suffering From Reactive Arthritis",2021,"Frontiers in Sports and Active Living","3",,"798902","","",,1,"10.3389/fspor.2021.798902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122183514&doi=10.3389%2ffspor.2021.798902&partnerID=40&md5=b1c536e1ce35ef92c34a741e2205b4ff","Department of Occupational and Physical Therapy, Horsens Regional Hospital, Aarhus, Denmark; H-HIP, Horsens Regional Hospital, Horsens, Denmark; Department of Clinical Medicine, Aarhus University, Aarhus, Denmark; Department of Public Health, Aarhus University, Aarhus, Denmark","Jørgensen, S.L., Department of Occupational and Physical Therapy, Horsens Regional Hospital, Aarhus, Denmark, H-HIP, Horsens Regional Hospital, Horsens, Denmark, Department of Clinical Medicine, Aarhus University, Aarhus, Denmark; Mechlenburg, I., Department of Clinical Medicine, Aarhus University, Aarhus, Denmark, Department of Public Health, Aarhus University, Aarhus, Denmark","Introduction: Reactive arthritis (ReA) is a chronic inflammatory disease usually caused by a preceding gastrointestinal or genitourinary bacterial infection. ReA usually occurs in the lower limbs causing joint pain and joint swelling. Physiotherapy-led exercise is recommended to prevent muscle atrophy. The purpose of this case report is to describe the outcome after 12 weeks of low-load blood flow restricted resistance training (BFR-RT) as a rehabilitation method for a young male suffering from ReA. Methods and materials: A 17-year-old male suffered from ReA in the both knee joints and the left hip joint. 36 months after the incident, he suffered from another ReA incident in his right knee. Non-steroid anti-inflammatory drugs and a new arthrocentesis added with corticosteroid injection was unsuccessful in treating the ReA. The patient performed 12 weeks of BFR-RT on the right lower limb with a low amount of supervision after the first week of training. Assessment of unilateral 30-sec chair stand test (u30-sec CST), low-thigh circumference above apex patella, The Knee Injury and Osteoarthritis Outcome Score (KOOS), The Forgotten Knee Joint Score (FJS), and Numeric Ranking Scale for pain (NRS) was performed at baseline and after 3,6,9, and 12 weeks of BFR-RT. Results: The patient completed all planned exercise sessions. u30-sec CST improved with 7 repetitions (reps) on the right limb and 5 reps on the left leg. Low-thigh circumference decreased 1.1 cm on the right leg and 1.0 on the left leg. KOOS symptoms, ADL, quality of life and FJS demonstrated a clinically relevant change on 10, 14 and 23 points. Conclusion: The present case study indicates that even with low amounts of supervision BFR-RT could increase functional performance, reduce knee joint swelling and improve key patient-reported outcome. Copyright © 2021 Jørgensen and Mechlenburg.","exercise training; muscle; muscle venous occlusion; physical therapy; rehabilitation; venous occlusion",,Article,"Final","",Scopus,2-s2.0-85122183514
"Bergamini R., Nguyen T.-V., Bellemo L., Elmegaard B.","57208228101;55643095200;56242275800;6508320784;","Further development of the RDRA method for the optimal acquisition of data in process integration retrofit projects",2021,"Journal of Cleaner Production","329",,"129443","","",,,"10.1016/j.jclepro.2021.129443","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119368960&doi=10.1016%2fj.jclepro.2021.129443&partnerID=40&md5=9abb5d23a963366039fb254f6e6f89c5","Section of Thermal Energy, Department of Mechanical Engineering, Technical University of Denmark, Building 403, Nils Koppels Allé, 2800 Kongens Lyngby, Denmark; École polytechnique fédérale de Lausanne, Industrial Process and Energy Systems Engineering Group, Rue de l'Industrie 17, Sion, 1951, Switzerland; GEA Process Engineering A/S, Gladsaxevej 305, Søborg, 2860, Denmark","Bergamini, R., Section of Thermal Energy, Department of Mechanical Engineering, Technical University of Denmark, Building 403, Nils Koppels Allé, 2800 Kongens Lyngby, Denmark; Nguyen, T.-V., École polytechnique fédérale de Lausanne, Industrial Process and Energy Systems Engineering Group, Rue de l'Industrie 17, Sion, 1951, Switzerland; Bellemo, L., GEA Process Engineering A/S, Gladsaxevej 305, Søborg, 2860, Denmark; Elmegaard, B., Section of Thermal Energy, Department of Mechanical Engineering, Technical University of Denmark, Building 403, Nils Koppels Allé, 2800 Kongens Lyngby, Denmark","Process Integration techniques are powerful in analysing the energy usage of industrial plants and designing retrofit solutions for increasing their energy efficiency. However they are far from constituting the industrial practice. One primary cause for this is the severe time consumption they entail, especially in acquiring the necessary process data. A recently developed method, the Required Data Reduction Analysis (RDRA), aims at reducing this time consumption. It makes use of uncertainty and sensitivity analysis techniques, together with optimisation tools, in order to systematically identify: (i) a reduced number of process parameters, whose information need to be acquired with high detail, and (ii) the maximum acceptable uncertainty of each of them. The paper presents recent additions to the method, expanding its capabilities and addressing two open questions highlighted in previous work. In particular: (i) three sensitivity analysis techniques are compared, based on computational effort and precision, (ii) a novel algorithm for minimising the number of parameters needing detailed data acquisition is proposed and (iii) the impact of the uncertainties characterisation on the outcome of the analysis is assessed. The results of the analysis considering four different case studies provided evidence that the Standardised Regression Coefficient method for sensitivity analysis should be preferred in the Required Data Reduction Analysis, and that the uncertainty characterisation did not jeopardise the results. Moreover, the proposed minimisation algorithm proved to be effective and fast in reducing the number of parameters. A reduction of 5 to 13 parameters out of 19 to 22 was achieved on the four case studies by requiring 14000 to 22000 model simulations. © 2021 Elsevier Ltd","Data acquisition; Energy monitoring; Industrial energy use; Process integration; RDRA method; Retrofit","Calibration; Data integration; Data reduction; Energy efficiency; Energy utilization; Industrial plants; Parameter estimation; Retrofitting; Sensitivity analysis; Uncertainty analysis; Analysis method; Case-studies; Energy monitoring; Further development; Industrial energy use; Processes integrations; Required data reduction analyse method; Sensitivity analysis techniques; Time consumption; Uncertainty characterization; Data acquisition",Article,"Final","",Scopus,2-s2.0-85119368960
"Zhang J., Du Z., Fu L., Han Y., Zheng W., Yu F., Chen H., Feng L., Li Y., Ping W.","57277002700;57222004601;57329555500;55489232400;57329741200;57330132500;57330319700;55657613700;55657982100;57217481695;","Novel anaerobic digestion and carbon dioxide emissions efficiency analysis of food waste treatment based on SBM-DEA model",2021,"Journal of Cleaner Production","328",,"129591","","",,2,"10.1016/j.jclepro.2021.129591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118882193&doi=10.1016%2fj.jclepro.2021.129591&partnerID=40&md5=71bfafd8eb6652e5b8a429e9c8494809","School of Artificial Intelligence, Beijing Institute of Economics and Management, Beijing, 100102, China; College of Information Science & Technology, Beijing University of Chemical Technology, Beijing, 100029, China; State Key Laboratory of Heavy Oil Processing, Beijing Key Laboratory of Biogas Upgrading Utilization, College of New Energy and Materials, China University of Petroleum Beijing, Beijing, 102249, China; Department of Biological and Chemical Engineering, Aarhus University, Blichers Allé 20, Tjele, 8830, Denmark; NIBIO, Norwegian Institute of Bioeconomy Research, P.O. Box 115, N, Ås, 1431, Norway; School of Statistics, Jiangxi University of Finance and Economics, Nanchang, 330013, China","Zhang, J., School of Artificial Intelligence, Beijing Institute of Economics and Management, Beijing, 100102, China; Du, Z., College of Information Science & Technology, Beijing University of Chemical Technology, Beijing, 100029, China; Fu, L., School of Artificial Intelligence, Beijing Institute of Economics and Management, Beijing, 100102, China; Han, Y., College of Information Science & Technology, Beijing University of Chemical Technology, Beijing, 100029, China; Zheng, W., School of Artificial Intelligence, Beijing Institute of Economics and Management, Beijing, 100102, China; Yu, F., School of Artificial Intelligence, Beijing Institute of Economics and Management, Beijing, 100102, China; Chen, H., School of Artificial Intelligence, Beijing Institute of Economics and Management, Beijing, 100102, China; Feng, L., Department of Biological and Chemical Engineering, Aarhus University, Blichers Allé 20, Tjele, 8830, Denmark, NIBIO, Norwegian Institute of Bioeconomy Research, P.O. Box 115, N, Ås, 1431, Norway; Li, Y., State Key Laboratory of Heavy Oil Processing, Beijing Key Laboratory of Biogas Upgrading Utilization, College of New Energy and Materials, China University of Petroleum Beijing, Beijing, 102249, China; Ping, W., School of Statistics, Jiangxi University of Finance and Economics, Nanchang, 330013, China","With the development of the world economy and society, the living standards of residents have been improved, along with a large amount of food waste and carbon dioxide (CO2) emissions. In the face of global warming and energy shortages, food waste can be used as high-value bio-energy raw materials which is also an effective way to reduce CO2 emissions. Therefore, this paper proposes a novel anaerobic digestion and CO2 emissions efficiency analysis based on a Slacks-Based Measure integrating Data Envelopment Analysis (SBM-DEA) model to evaluate and optimize the process structure of anaerobic treatment of food waste. The total feed volume and the discharge volume of liquid digestate are taken as inputs, and the total methane (CH4) production volume is taken as the desirable output and CO2 emissions are regarded as the undesirable output to build the biogas production and CO2 emissions evaluation model during the anaerobic digestion process. Finally, the proposed method is used in the actual anaerobic digestion process. The results show that the overall efficiency values in January, April, May, and June in 2020 are higher than those in other months. At the same time, due to the optimal allocation of slack variables of inputs and undesirable outputs, the efficiency values of other inefficient anaerobic digestion days can be improved. © 2021 Elsevier Ltd","Anaerobic digestion; Carbon dioxide; Food waste; Methane; SBM-DEA model","Anaerobic digestion; Data envelopment analysis; Global warming; Methane; Anaerobic digestion process; Carbon dioxide emissions; CO 2 emission; Data envelopment analysis models; Economy and society; Efficiency analysis; Emission efficiencies; Food waste; Slacks-based measure integrating data envelopment analyse model; World economy; Carbon dioxide",Article,"Final","",Scopus,2-s2.0-85118882193
"Bergamini R., Moussavi A., Shahhosseini H.R., Nguyen T.-V., Bellemo L., Elmegaard B., Stuart P.","57208228101;57190072917;57006765400;55643095200;56242275800;6508320784;7005538752;","Analysis of energy integration opportunities in the retrofit of a milk powder production plant using the Bridge framework",2021,"Journal of Cleaner Production","328",,"129402","","",,1,"10.1016/j.jclepro.2021.129402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118863635&doi=10.1016%2fj.jclepro.2021.129402&partnerID=40&md5=4cb3472795560dee0a6dbec8200d2e27","Section of Thermal Energy, Department of Mechanical Engineering, Technical University of Denmark, Building 403, Nils Koppels Allé, Kongens Lyngby, 2800, Denmark; Department of Chemical Engineering, Polytechnique Montréal, 2900 boul. Édouard-Montpetit, Montréal (Québec), Canada; École polytechnique fédérale de Lausanne, Industrial Process and Energy Systems Engineering Group, Rue de l'Industrie 17, Sion, 1951, Switzerland; GEA Process Engineering A/S, Gladsaxevej 305, Søborg, 2860, Denmark","Bergamini, R., Section of Thermal Energy, Department of Mechanical Engineering, Technical University of Denmark, Building 403, Nils Koppels Allé, Kongens Lyngby, 2800, Denmark; Moussavi, A., Department of Chemical Engineering, Polytechnique Montréal, 2900 boul. Édouard-Montpetit, Montréal (Québec), Canada; Shahhosseini, H.R., Department of Chemical Engineering, Polytechnique Montréal, 2900 boul. Édouard-Montpetit, Montréal (Québec), Canada; Nguyen, T.-V., École polytechnique fédérale de Lausanne, Industrial Process and Energy Systems Engineering Group, Rue de l'Industrie 17, Sion, 1951, Switzerland; Bellemo, L., GEA Process Engineering A/S, Gladsaxevej 305, Søborg, 2860, Denmark; Elmegaard, B., Section of Thermal Energy, Department of Mechanical Engineering, Technical University of Denmark, Building 403, Nils Koppels Allé, Kongens Lyngby, 2800, Denmark; Stuart, P., Department of Chemical Engineering, Polytechnique Montréal, 2900 boul. Édouard-Montpetit, Montréal (Québec), Canada","The “bridge framework” is a systematic decision-making support tool for process integration retrofit of industrial plants, which proposes the use of “bridge analysis” in a structured fashion. Its potential of rigorously analysing industrial processes has been discussed, but no applications on actually operating plants considering process constraints have been presented to date. The paper demonstrates the capabilities of the bridge framework in analysing an actually operating milk powder production plant. Its step-by-step application is thoroughly described and discussed, highlighting inherent strengths and weaknesses of the method. Moreover, a clarification of the “energy transfer diagram” is proposed, distinguishing avoidable and unavoidable heat degradation in the heat exchanger network by introducing the concept of “limit heat transfer interface”. The results proved that the bridge framework is a rigorous tool, which provided valuable insight to the analyst aiding the open-ended decision-making activities related to the retrofit of both process operations and heat exchanger network. Seven design proposals were identified, out of which the best resulted in 54000 €/y of economic saving with an internal rate of return of 34% and a minimum risk level. The step-by-step application of the method demonstrated that good engineering judgement is critical for achieving beneficial solutions. Expertise on process operations as well as energy analytics is essential for completing the project. Finally, the concept of “limit heat transfer interface” allowed to completely link bridge analysis and pinch analysis and to clarify the meaning of the “grand composite curve”. © 2021 The Authors","Bridge framework; Dairy industry; Heat exchanger network; Pinch analysis; Process integration; Retrofit","Decision making; Earnings; Energy transfer; Heat transfer; Industrial plants; Retrofitting; Bridge analysis; Bridge framework; Dairy industry; Heat exchanger network; Milk powder; Pinch analysis; Powder production; Processes integrations; Production plant; Transfer interface; Heat exchangers",Article,"Final","",Scopus,2-s2.0-85118863635
"Kristiansen T.","16239208900;","A market scoring mechanism for trading of German electricity futures",2021,"Journal of Energy Markets","14","4",,"1","22",,,"10.21314/JEM.2021.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126292714&doi=10.21314%2fJEM.2021.006&partnerID=40&md5=79407b4717e82c095977383aff82c7eb","Danske Commodities, Værkmestergade 3, Aarhus, 8000, Denmark","Kristiansen, T., Danske Commodities, Værkmestergade 3, Aarhus, 8000, Denmark","We present a novel systematic commodity trading model utilizing a time series momentum strategy. The main innovation is a scoring mechanism to generate buy and sell signals, including determining the position size. The model is applied to the German electricity futures market and its price drivers: the momentum and volatility of the German front quarter, the Argus/McCloskey’s Coal Price Index (API 2) coal and emissions. We test the systematic model on data from November 2010 to December 2019 for several strategies. The model outperforms a basic short sale model. The application of the model yields improved risk-adjusted returns. This paper provides, to the best of our knowledge, the first description of a systematic trading approach to German electricity futures. © 2021 Infopro Digital Risk (IP) Limited.","German electricity futures; Momentum investing; Power trading; Systematic trading; Trend following",,Article,"Final","",Scopus,2-s2.0-85126292714
"Laursen C.S., Nielsen M.L., Dyreborg J.","57218763604;57195770570;16021164900;","Young Workers on Digital Labor Platforms: Uncovering the Double Autonomy Paradox",2021,"Nordic Journal of Working Life Studies","11","4",,"65","84",,3,"10.18291/njwls.127867","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124064137&doi=10.18291%2fnjwls.127867&partnerID=40&md5=e763041d95740c066be009c3786bb377","IT University of Copenhagen, Denmark; Centre for Youth Research, Aalborg University, Denmark; National Research Centre for the Working Environment, Denmark","Laursen, C.S., IT University of Copenhagen, Denmark; Nielsen, M.L., Centre for Youth Research, Aalborg University, Denmark; Dyreborg, J., National Research Centre for the Working Environment, Denmark","Drawing on interviews with 12 young adults in the Danish digital labor market, this article investigates how young workers on digital labor platforms experience the tension between ‘algorithmic management’ and autonomy. Digital labor platforms promise autonomy to workers, but the study shows that the platforms in varying degrees exert control over the labor process in different stages of the work. The inherent non-transparency of the algorithmic management systems makes it difficult for the young workers to understand the underlying mechanisms of the platforms. While the young workers’ autonomy in some important ways is restricted by the algorithmic management systems, the young workers have all chosen the platform work because they feel that it allows them to control where and when they work. We propose the conceptualization ‘the double autonomy paradox of young workers’ to describe this phenomenon. © 2021","Algorithmic management; Control mechanisms; Digital platform work; Gig economy; Non-transparency; Working environment; Young workers",,Article,"Final","",Scopus,2-s2.0-85124064137
"Rahmadan Y., Setiawati S.","57406920400;57406484300;","A FRAMING ANALYSIS OF INDONESIAN NEWSPAPER COVERAGE ON THE ISSUE OF PALM OIL DISCRIMINATION BETWEEN INDONESIA AND THE EUROPEAN UNION",2021,"Journal of International Studies(Malaysia)","17",,,"27","52",,,"10.32890/jis2021.17.2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122564271&doi=10.32890%2fjis2021.17.2&partnerID=40&md5=da9b767903d8e38a04b2108fefc27b27","Department of Global Studies, Aarhus University, Denmark; Graduate School of Public Policy, The University of Tokyo, Japan","Rahmadan, Y., Department of Global Studies, Aarhus University, Denmark; Setiawati, S., Graduate School of Public Policy, The University of Tokyo, Japan","This article provides a framing analysis of coverage by two newspapers in Indonesia, Harian Kompas and The Jakarta Post, on the issue of palm oil discrimination. Indonesia called for WTO negotiations with the European Union in December 2019, as the latter has imposed a higher tariff on palm oil. This study employed qualitative research in the form of newspaper content analysis carried out using NVivo 12. Firstly, the most frequent words used by The Jakarta Post and Harian Kompas were revealed through word frequency analysis. Then, sources, stereotyped images, and the cluster of facts or judgements used in the articles were examined. The goal was not only to see which dominant words appeared in both the newspapers, but also to discover whether positive or negative framing was more salient in the discussion of palm oil discrimination. Although The Jakarta Post appeared to use fewer negative words than Harian Kompas, further analysis revealed that both newspapers adopted the same negative tone in their framing. Negative framings were consistently found in their sources, stereotyped images, and clusters of judgements. This finding suggested a level of bias in the newspapers’ discussion of the European Union as the leader in fighting against climate change, and that the RED Initiative and Delegated Act as a way to attain the Paris Agreement, as these aspects of discussion were rather confined in their news coverage © 2021. Journal of International Studies(Malaysia).All Rights Reserved","European union; Framing analysis; Indonesia; Palm oil; Wto negotiation",,Article,"Final","",Scopus,2-s2.0-85122564271
"Flyvbjerg B.","6603578002;","Top Ten Behavioral Biases in Project Management: An Overview",2021,"Project Management Journal","52","6",,"531","546",,8,"10.1177/87569728211049046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121400404&doi=10.1177%2f87569728211049046&partnerID=40&md5=c0acc59ac42a9128371d32b50589f63e","University of Oxford, Oxford, United Kingdom; IT University of Copenhagen, Copenhagen, Denmark","Flyvbjerg, B., University of Oxford, Oxford, United Kingdom, IT University of Copenhagen, Copenhagen, Denmark","Behavioral science has witnessed an explosion in the number of biases identified by behavioral scientists, to more than 200 at present. This article identifies the 10 most important behavioral biases for project management. First, we argue it is a mistake to equate behavioral bias with cognitive bias, as is common. Cognitive bias is half the story; political bias the other half. Second, we list the top 10 behavioral biases in project management: (1) strategic misrepresentation, (2) optimism bias, (3) uniqueness bias, (4) the planning fallacy, (5) overconfidence bias, (6) hindsight bias, (7) availability bias, (8) the base rate fallacy, (9) anchoring, and (10) escalation of commitment. Each bias is defined, and its impacts on project management are explained, with examples. Third, base rate neglect is identified as a primary reason that projects underperform. This is supported by presentation of the most comprehensive set of base rates that exist in project management scholarship, from 2,062 projects. Finally, recent findings of power law outcomes in project performance are identified as a possible first stage in discovering a general theory of project management, with more fundamental and more scientific explanations of project outcomes than found in conventional theory. © 2021 Project Management Institute, Inc.","anchoring; availability bias; base rate fallacy; behavioral economics; cognitive bias; escalation of commitment; hindsight bias; optimism bias; overconfidence bias; planning fallacy; political bias; project management; strategic misrepresentation; uniqueness bias",,Article,"Final","",Scopus,2-s2.0-85121400404
